Nom_poste,Contrat,Description,Salaire,Experience,Entreprise
,"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Responsabilités Clés :
Vous serez en charge de la phase d'investigation sur le projet nœud d'échange de stockage et de la phase de&nbsp;valorisation de la donnée dont les enjeux sont de :
- Unifier le traitement et la diffusion des événements décrits par les exploitants dans la chaîne d'exploitation, et ceux initiés ou diffusées.
- Mettre en œuvre un système résilient permettant notamment l'intégration et la distribution en masse des données en temps réel.
- Uniformiser et maîtriser la chaîne de traitement et conservation des données de trafic, tant pour les actions en temps réel que le temps différé.
Votre rôle sera de&nbsp;&nbsp;:
- Coordonner la définition de la vision et de la stratégie, ainsi que de la&nbsp;feuille de route en prenant en compte le dé-comissionnement des produits actuels.
- Identifier et cartographier&nbsp;les parties prenantes.&nbsp;
- Travailler avec les sachants et experts sur la définition des services attendus.&nbsp;
- Cartographier des cas d'usages et aide à la priorisation.
- Définir l'architecture cible/contrats d'interface.&nbsp;
- Piloter la mise en place de POCs.
&nbsp;

Profil recherché:

Profil recherché:
- Expérience confirmée de 5 ans ou plus, en gestion de projet Datahub, dans un contexte Agile.
- Du fait de la typologie du projet, une expérience en big data et chefferie de projet est fortement recommandée.
- Etre&nbsp;organisé, ainsi que d'être capable de travailler en équipe tout en ayant de bonnes&nbsp;compétences relationnelles et rédactionnelles.
- Excellentes compétences en leadership, et en résolution de problèmes.
- Capacité démontrée à gérer plusieurs projets simultanément dans un environnement rapide et dynamique.
- Compétences en gestion du temps, de l'organisation et des imprévus.
- Une expérience en agilité serait un plus
- Bonne compréhension des enjeux IT.
&nbsp;
Ce que nous offrons :
- Une chance de participer à une aventure passionnante dans une société en pleine croissance.
- Un environnement de travail collaboratif et dynamique où l'innovation est encouragée via notre plateforme Easel Square et des réunions mensuelles de partage.
- Des opportunités de croissance professionnelle au sein d'une entreprise ambitieuse.
- Un coaching personnalisé durant votre première année dans nos équipes !
Si vous êtes prêt.e à relever le défi et à contribuer à la success story d'Easel-Tech, rejoignez-nous !",Salaire brut : A négocier,Expérience exigée de 5 An(s),EASEL TECH
"Data Ingénieur / Consultant BI F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Vous aurez un positionnement technique et fonctionnel dans la Business Intelligence, pour nos clients (forfait ou régie), et vous serez amené à travailler sur l'ensemble de la chaine décisionnelle.
Vous aurez pour missions :
D'accompagner les métiers dans l'expression de leurs besoins, de rédiger les spécifications
Audit de plateforme décisionnelle
Développement de flux ETL
Développement de modèle de données
Réalisation de reporting
Réalisation des phases de recette
Mise en place de projets Datawarehouse
Transférer vos connaissances et de former les utilisateurs
Réalisation d'articles de Blog, de Wiki, animation d'atelier technique, .
Coaching des nouveaux consultants
Vous serez en contact direct avec le client et entretiendrez une relation durable avec lui. Vous mettrez en avant votre savoir-faire technique et méthodologique et jouerez un vrai rôle de conseil.

Profil recherché:

Vous avez minimum 3 ans d'expérience dans le monde du décisionnel.
Vous maîtrisez au moins un outil de reporting (idéalement SAP WebI / SAC / Power BI / DigDash / Tableau) et au moins un ETL (idéalement Talend / Data Services / SSIS / Azure DataFactory).
Nous recrutons sur profil, ce seront vos compétences, votre personnalité et votre savoir être qui feront la différence !
Decivision n'est pas une ESN comme les autres.
Si vous n'êtes pas un candidat comme les autres, venez nous rencontrer !
https://www.decivision.com/decivision/recrutement/temoignages",Salaire brut : A négocier,Expérience exigée de 3 An(s),DeciVision
"Data Scientist confirmé F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Héméra Digital Consulting a pour ambition de renforcer et développer son pôle Data pour répondre aux attentes de ses clients. Dans ce cadre, nous recherchons des consultant.e.s Data Scientist confirmé.e.s, basé.e.s à Paris. 
Vous interviendrez chez nos clients sur des missions Data, orientées technique ou business selon votre profil et vos appétences. Vos missions principales seront de : 
* Comprendre et cadrer le besoin des clients
* Exploiter et analyser tous types de données (CRM, digitales, etc.) mises à disposition
* Réaliser des études (Data visualisation, analyses clients, segmentation, scoring, etc.) pour répondre aux problématiques des clients
* Utiliser des méthodes de Machine Learning en adéquation avec les besoins
* Restituer les résultats de façon concise et claire
* Animer la relation avec le client au quotidien
Vous participerez également au développement de notre cabinet en vous impliquant sur des sujets internes : team building, recrutement, animation des réseaux sociaux, développement des compétences, RSE, etc.

Profil recherché:

Les compétences que nous recherchons pour ce profil :
* Être diplômé.e d'une formation supérieure en Data à l'Université ou en grande école
* Justifier d'une expérience de 2 ans minimum en Data Sciences chez l'annonceur ou en prestation de services
* Disposer d'une bonne connaissance des méthodes statistiques et de leur application
* Avoir une bonne connaissance de SQL
* Maîtriser au moins un des principaux outils statistiques du marché : Python, R, Spark, Dataiku 
* Être curieux.se de l'évolution du marché de la Data et avoir l'envie de continuer à apprendre
* Être dynamique, bon.ne communicant.e et avec un bon esprit d'analyse et de synthèse
* La maîtrise de l'anglais est souhaitée
* Une expérience en agilité serait un plus",Salaire brut : A négocier,Expérience exigée de 2 An(s),Héméra Digital Consulting
Product Owner Data F/H - Informatique de gestion (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Vous souhaitez travailler sur des technologies de pointe et révéler votre talent ? Apprendre, partager et progresser, tout en donnant du sens à votre travail ? Rejoignez nos équipes passionnées par les Technologies et la DATA. Si vous aimez relever des défis technologiques et repousser les frontières du possible en transformation digitale, rejoignez l'aventure Manutan ! Groupe familial français et acteur majeur européen BtoB depuis près de 60 ans, Manutan accompagne entreprises, collectivités et artisans avec une offre alliant solutions e-commerce et services personnalisés pour une performance durable. Avec 25 filiales dans 17 pays d'Europe, Manutan compte plus de 2 500 collaborateurs et a réalisé un chiffre d'affaires de 946 millions d'euros en 2022/23. En 2024, 15 de nos filiales sont certifiées Great Place to Work.
Missions & Responsabilités : 
* Piloter un ou plusieurs projets Data de bout-en-bout, du cadrage à la mise en production (suivi de planning, de livrables, du chiffrage, du périmètre, des risques.) et le maintien en Condition Opérationnelle post mise en production.
* Encadrer, organiser et coordonner une « Squad team » composée de profils hétérogènes IT, Data, Business, notamment la structuration et la répartition des tâches au sein de la Squad.
* Formaliser et structurer la documentation produit.
* Mettre en place le Product backlog de développement et prioriser celui-ci par la valeur métier.
* Animer/co animer des ateliers avec les métiers, notamment lors des phases de cadrage et de conception du Produit. 
* Contribuer à la gestion des activités projet, en collaboration avec les Data Analysts, les Data Scientists, les Data Engineers ou les développeurs des équipes IT. 
* Appliquer les principes de data gouvernance en coordination avec les équipes en place.

Profil recherché:

De formation Bac+5 (Ingénieur, Ecole Supérieure ou Master 2), vous avez une expérience de 5 ans minimum sur des postes similaires. On vous reconnaît pour : 
* votre capacité à allier compétences fonctionnelles et techniques.
* Votre aptitude à relier la stratégie business et l'IT.
* Votre sens de la pédagogie et de la communication.
* Votre méthodologie et votre sens de l'organisation.
* Votre capacité à prendre du recul et à être pragmatique.
Vous êtes une personne à l'écoute, pro-active, avec un esprit de synthèse et un fort esprit d'équipe. Vous faites preuve de leadership, autonomie, et d'une excellente gestion des priorités.
Langue(s) :
* Anglais courant indispensable pour ce poste - échanges quotidiens écrits et oraux.

Pourquoi nous rejoindre :   
* Télétravail : Jusqu'à 3 jours/semaine
* Rémunération : Prime annuelle, Bonus pour tous, Participation et Intéressement  
* Jours de repos : 15 RTT, congés d'ancienneté 
* Avantages : Centre sportif (50€/an), restaurant (repas à 3,60€), conciergerie, crèche 
* Accessibilité : Navette Gare du Bourget (RER B) &gt; Manutan en 15 min. Dispositif de covoiturage 
* Mutuelle avantageuse : 25,12€ pour un salarié seul ou avec enfant 
* Bien-être au travail : Certifié « Great Place To Work » depuis 8 ans et labellisé « Happy Trainees » depuis 4 ans

Localisation :  DREDA - Centre Européen Manutan  ZAC du Parc des Tulipes  Avenue du 21e Siècle  95500 Gonesse
En transport :
* Bus 152 - Arrêt ZAC de Tulipes Nord (Terminus)
* Bus 23 - Arrêt ZAC de Tulipes Nord
* Une navette gratuite est disponible, reliant la gare du Bourget (RER B) à Manutan en seulement 15min 
  Pour découvrir Manutan, consultez notre site :  https://www.manutan.com/fr/nous-rejoindre/votre-defi, l'ensemble de nos postes sont ouverts aux personnes en situation de handicap.",Salaire brut : A négocier,Expérience exigée de 5 An(s),Manutan
"Contrôleur de Gestion - Data Analyst F/H - Contrôle de gestion, audit (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Nous recherchons un(e) contrôleur(euse) de gestion orienté(e) data analyst pour rejoindre notre équipe dans le cadre de la mise en place d'un ERP. 

 

Responsabilités :


* Participer activement à la mise en place et à l'optimisation de l'ERP.

* Analyser et interpréter les données financières et opérationnelles pour fournir des insights pertinents.

* Assurer le suivi et le contrôle des performances économiques de l'entreprise.

* Collaborer avec les différentes équipes pour améliorer les processus et les systèmes d'information.

* Gérer et analyser les données liées aux cartes SIM, en garantissant leur qualité et leur cohérence avec la comptabilité.

* Concevoir divers tableaux de bord, rapports et indicateurs après avoir établi un cahier des charges en lien avec le service demandeur.

* Collecter, analyser et interpréter les données pour prendre des décisions stratégiques éclairées.

* Assurer la reprise de certaines données dans le cadre de la mise en place de l'ERP.


Profil recherché:

Vous êtes titulaire d'un Master 2 en Contrôle de gestion avec une spécialisation en data, ainsi qu'une expérience confirmée de minimum 4 ans en tant que contrôleur(euse) de gestion ou data analyst.

Vous devez être très à l'aise avec les outils et les systèmes d'information, et posséder une maîtrise approfondie de ces technologies.

Une expérience préalable dans l'industrie est essentielle, avec une capacité démontrée à s'adapter à différents secteurs d'activité.

Vous avez des compétences analytiques solides et êtes capable d'interpréter des données complexes de manière efficace.

De plus, d'excellentes compétences en communication et en collaboration sont indispensables pour ce poste, car vous travaillerez en étroite collaboration avec diverses équipes.

 

Pourquoi rejoindre Cogelec ?


* Un parcours d'intégration géré par votre manager.

* Une liberté dans la gestion de votre semaine (flexibilité horaire, télétravail).

* Des tickets restaurant (carte Swile), un CSE, une conciergerie etc.

* Une charte de mobilité interne pour vos envies d'évolutions.

* Une mutuelle familiale prise en charge à 80% par Cogelec et ça peu importe la taille de votre tribu.

* Des locaux modernes et chaleureux.

* Et surtout une entreprise en pleine ébullition avec des projets motivants !",Salaire brut : 40 - 48 k€ brut annuel,Expérience exigée de 4 An(s),Cogelec
Business analyst data - bu montagne - chambéry F/H - Marketing (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:
MISSION GENERALE



L'accélération de la stratégie de digitalisation, dirigée par la CDA, nous amène à renforcer l'équipe Data de Chambéry en recrutant un Business Analyst Data (F-H). Vous intégrerez donc cette équipe et reporterez directement au Chief Data Officer.









FONCTIONS PRINICIPALES



Gestion du backlog produit :



Créer et maintenir le backlog produit, en listant et priorisant les fonctionnalités, améliorations et corrections nécessaires en étroite collaboration avec le Product Owner.

Assurer la clarté et la compréhension des éléments du backlog par l'équipe de développement et parties prenantes.

Priorisation des besoins selon la feuille de route DATA définie :

Recueillir et analyser les besoins des parties prenantes métiers.

Formuler et prioriser les besoins des utilisateurs et des parties prenantes en étroite collaboration avec la Data Gouvernance Manager et le Chef De Projet Data IT.

Rédiger des spécifications fonctionnelles détaillées et des users stories.

Prendre des décisions éclairées sur les priorités en fonction de la valeur ajoutée et des contraintes techniques.

Suivi du cycle développement et livraison :



Suivre les étapes de développement pour s'assurer que les livrables correspondent aux attentes.

Collaborer étroitement avec le Chef de Projet et l'équipe de développement pour résoudre les obstacles et ajuster les priorités si nécessaire.

Collaborer avec les équipes de développement pour s'assurer que les solutions proposées répondent aux besoins métiers.

Structurer et piloter les phases de tests utilisateurs (recettes).

Assurer une communication fluide entre les différentes équipes (métiers, développement, data science et chefferie de projet).

Amélioration continue :



Adopter une démarche d'amélioration continue du produit en recueillant et analysant les retours des utilisateurs

Collaborer avec la Data Gouvernance Manager pour la mise en place des indicateurs de performance pour mesurer l'efficacité des solutions mises en œuvre.






Profil recherché:
COMPETENCES



Expérience avérée en tant que Business Analyst Data, idéalement dans un environnement technique ou data-driven.

Capacité à collaborer sur des projets transverses multisites & multi domaines.

Expérience en gestion de produit, idéalement dans un environnement agile.

Bonnes capacités d'analyse et de synthèse pour rédiger les spécifications fonctionnelles/user stories.

Capacité à comprendre et à traduire les besoins métiers en spécifications techniques.

Connaissance des méthodologies Agile et des outils de gestion de projet (JIRA, Confluence, etc.).

Expérience dans la structuration et le pilotage de tests utilisateurs.

Capacité à prioriser et à prendre des décisions basées sur des données.

Connaissance approfondie des systèmes de gestion de données (langage SQL) et des outils de reporting (un plus : PowerBI)

Votre aisance relationnelle, votre sens du service client et votre goût du travail en équipe vous permettent de travailler avec facilité avec toutes les équipes de la DSI, les Métiers et les prestataires qui interviennent sur nos projets.



QUALIFICATIONS



Formation Bac +5, Ecole d'ingénieur ou Master

Minimum de 3 années d'expérience en tant que Business Analyst Data

Connaissance des domaines skiables ou de l'industrie du tourisme est un plus.

Participation à des projets de type financiers ou marketing/commercial est également un plus.



INFORMATION COMPLEMENTAIRES



Le poste est de préférence basé à Chambéry. Un aménagement en télétravail est cependant possible.

Déplacements à prévoir entre Chambéry, Paris et dans les filiales de la CDA en France",Salaire brut : A négocier,Expérience exigée de 2 An(s),COMPAGNIE DES ALPES
DATA CONTROLEUR(EUSE)/ASSISTANT(E) COMPTABLE (H/F),"Contrat à durée indéterminée

Contrat travail","Lamacompta vous présente cette offre d'emploi de KALIAME

Dans un contexte de transformation digitale des entreprises et d'automatisation des opérations pour nos clients, nous recherchons un(e) DATA CONTRÔLEUR(EUSE) pour compléter notre équipe et intervenir chez nos clients, TPE et PME de tous secteurs d'activité.

Vous serez formé(e) à l'utilisation et au paramétrage des différents outils de captation des flux utilisés au sein du cabinet.

Votre mission principale :
Assurer la fluidité et la qualité des données comptables et financières des clients sur les plateformes collaboratives de gestion. En effet, la qualité des données est essentielle au pilotage de leur activité professionnelle.

Vos tâches au quotidien :
- Paramétrer les dossiers sur les plateformes collaboratives afin d'automatiser et de faciliter l'acquisition des données,
- Accompagner les clients dans l'utilisation de ces plateformes et les former sur les outils digitaux mis en place dans leur entreprise,
- Assurer une collecte de données exhaustive et qualitative, et vérifier que ces données sont correctement intégrées dans les outils comptables du cabinet
- Intervenir pour corriger les anomalies, optimiser les paramétrages et dénouer les problèmes de remontées de données identifiés par les applications et les utilisateurs,
Sous la direction d'un responsable de pôle, vous exercerez vos fonctions en autonomie et serez amené(e) à vous déplacer chez les clients (métropole rennaise essentiellement) et à travailler de manière transversale avec l'intégralité des intervenants du cabinet (réviseur(euse), conseiller(ère) paie/RH..).
  
 Issu idéalement d'une formation en système d'information ou en gestion/finance, vous êtes, titulaire d'une licence, d'un master ou en reconversion professionnelle.
Vous avez une réelle appétence pour le digital et la formation client, ainsi qu'une connaissance du monde de l'entreprise.",,Expérience exigée de 1 An(s),Lamacompta
Data Scientist (H/F),"Contrat à durée indéterminée

Contrat travail","Fondée en 2016 dans le but de répondre aux enjeux écologiques et réduire notre impact sur la planète, nous avons décidé de nous investir de manière durable en nous appuyant sur l'essentiel, du matériel haut de gamme et sur un service d'exception personnalisé.

Notre métier est d'accompagner nos clients vers l'avenir avec des systèmes innovants durables et rentables.

Austral Energie, c'est la marque privilégiée au service des communautés, socialement responsable pour une vie quotidienne meilleure. Nous avons pour objectif d'offrir de la valeur ajoutée à nos clients à travers des produits exceptionnels et un service inégalé. A l'écoute de nos clients, nous construisons des projets et développons des relations durables avec eux.

Nous valorisons nos collaborateurs et nous nous engageons à les soutenir dans leur développement personnel. Chez Austral, nous sommes convaincus que les énergies renouvelables représentent l'avenir de la consommation énergétique et nous encourageons les communautés à oeuvrer pour le développement durable.

4 valeurs qui résument Austral Energie :

L'éthique
Créer des relations durables basées sur le respect et la transparence.

L'excellence
Offrir des produits haut de gamme et un service d'exception.

La responsabilisation
Favoriser l'initiative des collaborateurs et encourager leur développement.

L'engagement
Agir positivement sur le climat. Vous garantir performance et haut rendement.

Notre vision est de devenir le leader des solutions énergétiques haut de gamme et respectueuses de l'environnement dans les territoires où nous sommes implantés. Nous aspirons à créer un monde où l'énergie renouvelable est la norme, et où notre expertise et notre engagement inspirent d'autres entreprises à adopter des pratiques durables. Nous croyons fermement en un avenir où chaque action compte et où chaque énergie propre générée nous rapproche de la préservation de notre planète.

Grâce à ce positionnement novateur, notre groupe a connu une croissance rapide au cours des dernières années.

En 2021, nous étions une agence avec seulement une dizaine de collaborateurs à la Réunion.

Aujourd'hui, Austral Énergie est représentée par environ 300 professionnels, à la Réunion, mais également sur l'île Maurice, en France Métropolitaine et en Belgique.

Le poste : 

Nous recherchons un(e) Data Scientist expérimenté(e), possédant une solide expertise en gestion de stack data et un leadership naturel pour accompagner l'entreprise sur ses initiatives data. Dans ce cadre, vous aurez la possibilité de définir et de construire une architecture data robuste et scalable en accord avec les besoins de l'entreprise. Vous serez le garant de la conception d'une pipeline ETL performante et du développement d'outils d'analyse de données, de reporting ainsi que des modèles prédictifs.

Vos missions : 

Conception et mise en place de la Stack Data :

- Définir et implémenter une infrastructure data adaptée aux besoins 
actuels et futurs de l'entreprise.

- Choisir les outils et technologies (ETL, data Warehouse, bases de 
données, systèmes de gestion de données) pour garantir une architecture
scalable et maintenable.

- Assurer la qualité, la sécurité, et la disponibilité des données issues de 
notre ERP, CRM (HubSpot), et autres sources.

Création de pipelines de données (ETL) :

- Mettre en place un ETL performant pour transformer, consolider et 
structurer les données brutes issues de diverses sources.

- Gérer la qualité des données en élaborant des procédures de nettoyage, 
normalisation et enrichissement des données.o Collaborer avec les équipes 
techniques et opérationnelles pour automatiser l'ingestion et le traitement 
des données en temps réel.

Analyse des données et création de rapports :

- Concevoir et développer des dashboards et KPI pour suivre la 
performance de l'entreprise, améliorer les opérations et optimiser la prise
de décision.

- Fournir des insights exploitables en analysant les tendances, les schémas 
de comportement et les points de friction au sein des opérations.

- Assurer un reporting automatisé en utilisant des outils de visualisation de 
données.

Modélisation et Prévision :

- Développer et déployer des modèles prédictifs pour anticiper la demande, 
optimiser la logistique, et prévoir la performance des installations.

- Mettre en place des analyses de maintenance prédictive pour réduire les 
coûts et maximiser la durée de vie des installations photovoltaïques.

- Tester et valider r",,Expérience exigée de 2 An(s),AUSTRAL ENERGIE
Data Analyst (H/F),"Contrat à durée indéterminée

Contrat travail","Entreprise industrielle implantée dans le Dunkerquois depuis près de 200 ans, La société Ch. Daudruy Van Cauwenberghe est une société familiale, avec des valeurs fortes et une démarche RSE réellement présente.

Spécialisée dans le raffinage et l'assemblage d'huiles et graisses, végétales et animales, elle fait partie d'un ensemble de 10 entités.

Travaillant autour de deux axes de développement : l'énergie et l'alimentation / ingrédients, nous nous appuyons sur des valeurs familiales de respect, de réactivité, et d'engagement vis-à-vis de nos collaborateurs, clients et fournisseurs.
Médaillée d'or pour nos engagements RSE, nous poursuivons notre démarche en
faisant évoluer nos infrastructures au travers de projets de revamping notamment.


Le poste : 

La société Ch. DAUDRUY Van Cauwenberghe recherche un(e) Data Analyst (H/F), pour un démarrage dès que possible. Notre futur Data Analyst dépendra de notre Responsable Contrôle de Gestion. 

Les missions principales sont les suivantes : 

1/ Collecte et Préparation des Données 


- Récupérer les données provenant de sources multiples. 
- Assurer la qualité et la fiabilité des données en nettoyant, filtrant et vérifiant les données brutes. 
- Structurer et transformer les données en formats adaptés pour l'analyse.  

2/ Analyse des données : 


- Utiliser des techniques statistiques et des modèles d'analyse pour extraire des tendances, des corrélations. 
- Réaliser des analyses exploratoires pour identifier des opportunités d'amélioration. 
- Créer des rapports et des visualisations claires et compréhensibles pour les parties prenantes.  Suivre et faire évoluer les différents référentiels de base de données (articles, tiers, emplacements ?). 

3/ Reporting et Communication des Résultats : 


- Développer des rapports personnalisés à l'aide d'outils BI (Power BI?). 
- Présenter les résultats des analyses de manière claire et concise. 
- Être garant de la cohérence des données (entre les sociétés, services, équipes') lors des tests et en production. 
- Assurer l'intégrité et la conformité des données lors des montées de version. 

4/ Amélioration Continue : 


- Proposer des solutions d'optimisation des processus d'analyse de données. 
- Contribuer à la mise en place de nouveaux indicateurs de performance (KPi). 
- Être référent sur la création de nouveaux référentiels / nouvelles données.  
- Prendre part aux différents projets de développements. 
- Assurer son rôle de Key User dans les évolutions de paramétrage de la solution. 

Le Data Analyst peut aussi être amené à effectuer les missions suivantes : 


- Support du contrôle de gestion pour l'évolution de la solution Business Intelligence (BI). 
- Évolution des espaces de travail et des rôles des utilisateurs. 
- En veille avec l'équipe informatique sur les solutions de progrès (Intégration de l'intelligence artificielle, renforcement de la cybersécurité, digitalisation des processus, ?). 



Les compétences requises :


- Rigueur, organisation & esprit d'analyse 
- Esprit de synthèse et capacité à transformer des données brutes en insights exploitables 
- Bonne capacité de communication 
- Capacité à travailler en équipe et à collaborer avec des équipes métiers variées.  
- Maitrise des outils d'analyses de données (excel, SQL') 
- Compétence dans l'utilisation d'outils de BI (tableau, Power BI, Qlikview?.) 
- Connaissance des bases de données relationnelles et non relationnelles  
- Appétence pour la « data » 


Profil recherché : 


Profil souhaité:

Issu(e) d'une formation BAC +3 à +5 orientée Data Science, Statistique, Informatique, vous avez une première expérience dans ce domaine d'activité.

Vous êtes une personne engagée, qui possède le sens de l'initiative et qui aime entreprendre, vous aimez l'autonomie et la polyvalence, vous possédez un esprit d'analyse et de synthèse. Vous êtes passionné(e) par les données et leur pouvoir de transformation - 


Rejoignez notre équipe en tant que Data Analyst pour transformer nos informations en décisions stratégiques ! 


Les plus*:


-        Un parcours d'intégration complet de votre arrivée à votre prise de poste
-        Un CSE : accès à une billetterie à prix attractif
-        Organisation de sorties et évènements conviviaux et familiaux. 
-        Prime mensuelle et semestrielle, mutuelle entreprise.",,Expérience souhaitée de 2 An(s),DAUDRUY
Data manager (H/F),"Contrat à durée indéterminée

Contrat travail","Description du poste :
Le Groupe SAMSE est un groupe Audacieux et Passionné qui cultive la Proximité avec ses collaborateurs(trices), ses clients et ses fournisseurs. Viens bâtir l'avenir avec nous ! Et rejoins les 75% de nos salarié(e)s qui sont actionnaires du Groupe.
Tu cherches un nouveau challenge et souhaites participer à la modernisation de nos outils de reporting. Tu veux intervenir sur toute la chaine de traitement de la donnée et la connaissance métier te parait aussi importante que la technique ?
Nous recherchons un(e) Data Engineer Senior en CDI qui sera intégré(e) au service décisionnel du Groupe, composé de 9 personnes.
Tu interviendras sur la migration de nos outils actuels, l'amélioration de nos flux de données et la conception d'outils d'analyse.
Tes missions seront variées et stimulantes :
Analyser les besoins fonctionnels métier,
Piloter des projets,
Etudier les opportunités et la faisabilité technique de l'application,
⛓Modéliser les tables dans le datawarehouse,
Développer des flux de données à partir de l'ETL,
⚒️Concevoir des Dashboard,
Accompagner l'utilisation des outils avec les utilisateurs finaux.
Description du profil :
Au sein du Groupe SAMSE, nous sommes convaincus que la diversité des talents est une richesse pour l'entreprise. Nous encourageons les candidatures de toutes les personnes, femmes et hommes, qui souhaitent contribuer à notre dynamique collective.
Tu as suivi une formation universitaire Bac +5 en informatique type système d'information et d'aide à la décision.
Tu as capitalisé une expérience professionnelle de 8 ans minimum dans un poste similaire.
Expert(e) en SQL et en modélisation de datawarehouse, tu maîtrises les pipelines ETL/ELT (SAP BODS, DBT, Talend, ...) et la conception d'architectures de données robustes et scalables. À l'aise avec des outils de reporting comme Power BI et de planification de flux type Apache Airflow, tu es autonome, dynamique, et orienté(e) service client. Tu possèdes une forte capacité à répondre aux enjeux métiers et techniques. Ton leadership te permet d'accompagner les ingénieurs tout en contribuant aux décisions stratégiques.
Nous te proposons :
- Un poste en CDI
- Basé à Grenoble
- En forfait jours
- Possibilité de télétravail 1 à 2 jours (par semaine) passée la période d'essai
- Une rémunération à partir de 42 k€ brut fixe
- Un intéressement et une participation (environ 1,6 mois de salaire)
- Primes conventionnelles (noël et vacances) et sur objectif
- Une prévoyance et une mutuelle
- Une carte société qui te permettra d'avoir des prix préférentiels sur les produits de nos enseignes
- Un fond commun de placement avec un abondement de 40%
- Des négociations annuelles obligatoires.
Et au-delà...
Tu vas pouvoir te construire un parcours qui te ressemble vraiment. Dans le cadre de notre politique de mobilité interne, tu pourras découvrir d'autres métiers, enseignes ou régions.
Déroulement du process de recrutement :
1.Entretien téléphonique RH
2.Premier Manager
3.Second entretien N+2
Nos étapes de recrutement / Groupe SAMSE Recrute",,Expérience exigée de 6 An(s),
Chef de projet data (H/F),"Contrat à durée indéterminée

Contrat travail","Description du poste :
Nous recherchons Un(e) Chef de projet Data H/F
Poste en CDI à pourvoir sur nos sites de Lyon (69) ou Limas (69) ou Paris (75)
Au sein de la DSI France, rattaché(e) au Responsable BI nous recherchons un(e) Chef(fe) de projet DATA spécialisé(e) dans la Contract Logistics (H/F) afin de renforcer nos équipes.
Principales missions :
Vous accompagnez les équipes opérationnelles pour ce client stratégique du e-commerce dans leurs projets Data (EDI/BI)***Recueil des besoins métier***Analyse et rédaction des cahiers des charges en relation avec les experts WMS***Spécification auprès des équipes techniques ou réalisation directe***Suivi des projets et tâches attenantes***Conseil auprès des clients internes ou externes***Documenter les projets***Des déplacements sur Châtres (Île-de-France) sont à prévoir environ 2 fois par mois
Description du profil :
VOS +***De formation supérieure BAC+3/5 (Licence/Master ou école d'ingénieur)***Maîtrise de l'ETL Talend impérative (EDI/ BI)***Une expérience de 3 ans minimum dans le domaine EDI/BI logistique souhaité***Expérience dans la gestion de projet BI/ Data et développement***Vous êtes méthodique, proactif, volontaire et avec l'envie de travailler en équipe ;***Maîtrise de l'anglais technique souhaité.***Le sens du client est essentiel pour ce poste
Votre motivation, votre goût du challenge, votre sens aiguisé du service, vos qualités relationnelles et votre rigueur seront des atouts importants qui vous permettront de progresser au sein de notre structure.
Nos + :
Rejoindre Kuehne + Nagel, c'est s'engager dans une entreprise labellisée Great Place To Work et être prêt(e) à relever les défis du futur
Au-delà de rejoindre une équipe agréable dans un contexte stimulant, nous vous proposons :***Rémunération composée d'un fixe et d'un variable sur objectifs***Avantage en nature : voiture de fonction***Intéressement et participation***Formations tout au long de votre vie chez Kuehne + Nagel***Possibilités d'évolution en France et à l'international","Salaire brut : Annuel de 45000,00 Euros à 50000,00 Euros
Véhicule,int,part,bonus,ce,mutuelle",Expérience exigée de 3 An(s),
