Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Ingénieur Developppement informatique,immédiate,31 - TOULOUSE,CSS Développer une application en lien avec une base de données HTML J2EE Programmation en Python,Analyser les besoins informatiques Assembler des composants logiciels Coder Concevoir une application web Développer une application en lien avec une base de données Intégrer des outils IAData Science Paramétrer un logiciel un outil un système numérique Réaliser des études et développements informatiques Sélectionner assembler et intégrer des composants informatiques progiciels bases de données développements spécifiques Tester un logiciel un système dinformations une application Vérifier la compatibilité des développements produits avec les spécifications,5 Ans,CDD-alternance,Autre,60.0,31,122
développeur informatique,immédiate,75 - PARIS 01,Anglais Arabe,Anglais technique Apache Application web Architecture web ASPNET C CSS Gestion de bases de données NoSQL HTML Langage C Reactjs Visual Basic,Masters of Sciences Mention DATA Et System connecté Bac5 et plus ou équivalents 2 Ans,Intérim,Développeur,24.0,75,123
Développeur Python/Javascript en recherche des opportunités en Fullstack/Backend,immédiate,04 - DIGNE-LES-BAINS,Programmation en Python Utilisation de frameworks JavaScript API REST FastAPI Gérer et maitriser des bases de données SQLNoSQL,Application web Architecture web HTML Langages de programmation informatique Optimisation des performances web Programmation en Python Programmation logicielle Sécurité des applications web Test et validation de logiciels Utilisation de frameworks JavaScript,Master Développement Logiciel Mobile IOT Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Développeur,12.0,04,124
"Jeune diplômée désireuse d’apporter une valeur ajoutée aux organisations à travers un esprit entrepreneurial, la BI, le machine learning et la gestion de projet.",immédiate,29 - BREST,Analyser une situation et produire un diagnostic Créer une documentation technique Langages de programmation informatique Traduire les demandes de lentreprise en solutions techniques Anglais,Favoriser un environnement de travail collaboratif Prendre la parole en public Préparer et animer une réunion un groupe de travail un atelier Relayer de linformation Rendre compte de son activité,Stage de data science Opta Data Gruppe Essen Allemagne 5 Ans,CDD,Autre,60.0,29,125
Expert en informatique et systèmes d'information,immédiate,75 - PARIS 01,,Business Intelligence BI Informatique décisionnelle GitHub InDesign Java Microsoft Excel Microsoft Project MySQL PDO PHP Data Objects PHP Programmation en Python Stratégies de mise en jeu Système dexploitation informatique VirtualBox Système dexploitation informatique VMWare virtualisation darchitecture Visual Basic for Applications VBA WordPress CMS,Master En Expert Informatique Et Systeme Dinformation Bac5 et plus ou équivalents 3 Ans,CDD,Autre,36.0,75,126
Doublement diplomé d'un Master Statistique et un master mathématiques et informatique appliquées à la recherche d'une nouvelle opportunité,immédiate,France,Faire preuve de rigueur et de précision Sadapter aux changements Travailler en équipe Réaliser une étude Rédiger de linformation,Analyse de données expérimentales Avancé Économétrie Intermédiaire Gestion administrative Débutant Logiciels de gestion de base de données Intermédiaire Modélisation et simulation Intermédiaire Modélisation statistique Avancé Utilisation de logiciels statistiques Intermédiaire,Ingénierie de la décision et data sciences Bac5 et plus ou équivalents 1 Ans,Intérim,Autre,12.0,France,127
Jeune diplômé en Mathématiques appliquées expérimenté d'une année à la recherche d'un poste dans le domaine de l'environnement ou de l'agriculture.,immédiate,34 - MONTPELLIER,Faire preuve dautonomie Organiser son travail selon les priorités et les objectifs Établir des prévisions des évaluations des recommandations des perspectives Langages de programmation informatique,Adapter les outils de traitement statistique de données Avancé Analyser exploiter structurer des données Avancé,Ingénieur Analyste de Données Nanolike Toulouse 1 Ans,Intérim,Autre,12.0,34,128
SKIPPER - CAPITAINE 200 VOILE  - CAPITAINE 500,immédiate,26 - VALENCE,,Droit maritime Intermédiaire Gestion de projet Intermédiaire Lecture de carte marine Avancé Législation sociale Intermédiaire Maintenance de matériel informatique Intermédiaire Réglementation du transport de marchandises Réglementation portuaire Règles de barre Avancé Règles de sécurité à bord des navires personnes et marchandises Avancé Règles de sécurité maritime Avancé Règles de tenue de quart Intermédiaire,Capitaine 500 Bac ou équivalent 1 Ans,Intérim,Autre,12.0,26,129
Dessinateur projeteur autocad spécialisé à déploiement fibre optique,immédiate,26 - VALENCE,Comprendre les schémas de principe Microsoft Excel Protocoles et normes télécoms Réseaux de télécommunication Technologie des fibres optiques,Autocad Avancé Maîtrise des logiciels AutoCAD et Revit Avancé Microsoft Access Avancé Microsoft Excel Avancé Microsoft Word Avancé Réseaux de fibre optique Fiber To The Home FTTH Avancé Réseaux de télécommunication Avancé Technologie des fibres optiques Avancé,Technicien DessinateurProjeteur 3 Ans,CDD-alternance,Autre,36.0,26,130
"Ingénieur R&D en Génie Automatique, 7 ans d'expérience dans le domaine du contrôle commande avancé",immédiate,13 - MARSEILLE,Prendre des initiatives et être force de proposition Sadapter aux changements Modélisation et simulation Présenter et expliciter les avancées scientifiques et les travaux de recherche Superviser et contrôler le déroulement et lavancement des expériences et des observations scientifiques,Concevoir et préparer les cours les travaux dirigés ou les travaux pratiques Enseigner transmettre des connaissances développer des compétences Évaluer des acquis dapprentissage de formation ou dexpérience,Consultant Data Architect Bac5 et plus ou équivalents 2 Ans,CDD-alternance,Autre,24.0,13,131
Ingénieure en génie industriel diplômée en 2023 et future diplômée d'un mastère spécialisé en intelligence artificielle en 2024.,immédiate,08 - CHARLEVILLE-MÉZIÈRES,Application des méthodes de machine learning dans BI Business Intelligence BI Informatique décisionnelle Gestion de bases de données NoSQL Langages de programmation informatique Programmation en Python,Application des méthodes de machine learning dans BI Avancé Business Intelligence BI Informatique décisionnelle Avancé Gestion de bases de données NoSQL Avancé HTML Intermédiaire Langages de programmation informatique Avancé Paramétrage de logiciels Intermédiaire Progiciel de gestion SAP BW Avancé Programmation en Python Avancé Visual Basic for Applications VBA Avancé,Ingénieur Intelligence artificielle EDF 1 Ans,CDI,Autre,12.0,08,132
Ingénieur bâtiment,immédiate,45 - ORLÉANS,Calcul de structures Conduite de travaux Maîtrise de langlais,Calcul technique Chiffragecalcul de coût Cobol Économie de la construction Gestion de bases de données NoSQL Programmation en Python Réhabilitation de lhabitat Technologie du bâtiment Utilisation de logiciels de CAODAO,hôte daccueil standard Phone Régie Prestation réalisé au siège de FREE Paris 3 Ans,CDD-alternance,Autre,36.0,45,133
Technicien informatique et téléconseiller,immédiate,17 - LA ROCHELLE,Gérer la sécurité informatique Superviser un projet darchitecture Superviser un secteurprojet de maintenance,Architecture réseau Gestion budgétaire Logiciel de traitement de texte Avancé Réseaux informatiques et télécoms Technologies de laccessibilité numérique Technologies informatiques Technologies télécoms Utilisation de logiciels de tableur Avancé,Pilote dintervention ORANGE ReimsCette Expérience contient une pièce jointe 5 Ans,Intérim,Autre,60.0,17,134
Développeur iOS,immédiate,07 - PRIVAS,Concevoir et gérer un projet Créer une documentation technique Anglais technique Concevoir et développer une solution digitale Recueillir et analyser les besoins client,Analyser exploiter structurer des données Intermédiaire Analyser les besoins informatiques Avancé Assembler des composants logiciels Intermédiaire Coder Avancé Concevoir larchitecture dun système dun réseau Intermédiaire Concevoir la cartographie fonctionnelle du SI Débutant Concevoir une application web Débutant Créer une documentation technique Intermédiaire Développer une application en lien avec une base de données Avancé Développer un logiciel un système dinformations une application Avancé Gérer et déployer des logiciels à distance Intermédiaire Intégrer des outils IAData Science Débutant Paramétrer un logiciel un outil un système numérique Intermédiaire Réaliser des études dorganisation et dévolution de systèmes dinformation Intermédiaire Réaliser des études et développements informatiques Intermédiaire Réaliser la mise en production de solutions logicielles dans un environnement dexploitation Intermédiaire Sélectionner assembler et intégrer des composants informatiques progiciels bases de données développements spécifiques Intermédiaire Tester un logiciel un système dinformations une application Intermédiaire Vérifier la compatibilité des développements produits avec les spécifications Intermédiaire,Développeur informatique lecteur de carte CB INGENICO A BOSTON USA BOTSONCette Expérience contient une pièce jointe 3 Ans,CDD,Développeur,36.0,07,135
Ingénieur-Chercheur en Informatique,immédiate,59 - LILLE,Développement de méthodes de recherche Gestion de projet Sciences et techniques de lingénieur Développement CC Python,Informatique Logique mathématique Sciences et techniques de lingénieur Sciences physiques,Ingénieur RD ATOS Grenoble Isere France 2 Ans,Intérim,Autre,24.0,59,136
"Suite à mes études, je recherche mon premier emploi en tant que Chef de secteur",immédiate,54 - NANCY,,Gestion des rayons Microsoft Access Débutant Microsoft Excel Intermédiaire Microsoft PowerPoint Intermédiaire Microsoft Word Avancé,Master en Management Bac5 et plus ou équivalents 4 Ans,CDI,Autre,48.0,54,137
Ingénieur R&D modélisation,immédiate,31 - TOULOUSE,Algorithmique Langages de programmation informatique Modélisation et simulation Anglais,Algorithmique Analyse de données expérimentales Big data Analytics Langages de programmation informatique Logiciels de gestion de base de données Modélisation et simulation Modélisation statistique Utilisation de logiciels statistiques,Doctorat en Calcul Scientifique Bac5 et plus ou équivalents 3 Ans,CDI,Autre,36.0,31,138
Ingénieur full stack (Java/Angular),immédiate,22 - SAINT-BRIEUC,,Application web Avancé Architecture MVC Modèle Vue Contrôleur Avancé Docker Intermédiaire Framework AngularJS Intermédiaire Framework Hibernate Avancé Gestion de versions de logiciels de jeux Avancé GitLab Avancé HTML Avancé JIRA Avancé Maîtrise dun outil de gestion de flux Kafka Flink… Intermédiaire MySQL Avancé Nodejs Débutant,Ingénieur Fullstack JavaAngular Capgemini Paris 4 Ans,Intérim,Autre,48.0,22,139
A la recherche d'un emploi dans le développement de jeux vidéo,immédiate,26 - VALENCE,C Concevoir et gérer un projet Réaliser des études et développements informatiques,Analyser exploiter structurer des données Concevoir une application web Développer une application en lien avec une base de données Paramétrer un logiciel un outil un système numérique Réaliser des études dorganisation et dévolution de systèmes dinformation Réaliser des études et développements informatiques Réaliser la mise en production de solutions logicielles dans un environnement dexploitation Sélectionner assembler et intégrer des composants informatiques progiciels bases de données développements spécifiques,Mastère Européen Applications intelligentes et Big Data Bac5 et plus ou équivalents 2 Ans,CDI,Autre,24.0,26,140
Manager de transition - Excellence Opérationnelle - Innovation,immédiate,57 - METZ,Diriger et gérer un ensemble une structure une organisation Enseigner transmettre des connaissances développer des compétences Mettre en oeuvre les actions de transformation nécessaires aux changements Piloter la gestion de la production de lexploitation,Analyse de données expérimentales Intermédiaire Analyse de risque Avancé Business Intelligence BI Informatique décisionnelle Débutant Conception de programmes de formation Avancé Gestion budgétaire Avancé Logiciel de traitement de texte Avancé Logiciels de gestion de base de données Intermédiaire Management de la chaîne logistique Supply chain management Avancé Méthodes et outils de résolution de problèmes Avancé Mise à jour des connaissances en mécanique Intermédiaire Principes de lergonomie au travail Intermédiaire Progiciels de gestion intégrée dentreprise ERP Intermédiaire Stratégies de communication Intermédiaire Stratégies de communication externe Intermédiaire Techniques daudit interne Avancé Utilisation de logiciels de tableur Avancé,Directeur Innovation et Développement Produit Baccarat Baccarat Paris 2 Ans,CDD-alternance,Autre,24.0,57,141
Product manager avec une expertise en ingénierie cognitive,immédiate,31 - TOULOUSE,Concevoir et gérer un projet Faire preuve de rigueur et de précision User Research Anglais,Animer coordonner une équipe Optimiser les effectifs ladéquation et lallocation des ressources,Product Manager Revolt Games Lyon 1 Ans,CDI,Autre,12.0,31,142
Développeuse PHP avec formation gestion et analyse de BDD,immédiate,11 - CARCASSONNE,Faire preuve dautonomie Analyse de données expérimentales Langages de programmation informatique PHP R SAS SQL PHP,Analyse de données expérimentales Intermédiaire Langages de programmation informatique Intermédiaire Logiciel de traitement de texte Avancé Logiciels de gestion de base de données Avancé PHP Avancé Utilisation de logiciels de tableur Avancé,Développeuse Full remote 3 Ans,CDD-alternance,Autre,36.0,11,143
Diplômée de mathématiques et applications à la recherche d'une expérience professionnelle en ingénierie mathématique,immédiate,38 - GRENOBLE,Faire preuve de curiosité Sadapter aux changements Langages de programmation informatique Logique mathématique Anglais,Algorithmique Analyse de données expérimentales Intermédiaire Application des méthodes de machine learning dans BI Intermédiaire Informatique Informatique scientifique et technique Langages de programmation informatique Logique mathématique Programmation en Python Sciences médicales Sciences physiques,Mathématiques et applications Bac5 et plus ou équivalents 5 Ans,CDI,Autre,60.0,38,144
Etudiant en mathématiques,immédiate,27 - ÉVREUX,,Adapter lapprentissage selon la progression pédagogique les difficultés rencontrées Intermédiaire Collecter des informations pour préparer une séquence de formation une leçon Intermédiaire Conseiller des apprenants dans lorganisation de leur travail personnel Intermédiaire Définir un objectif dapprentissage et le programme des activités pédagogiques Intermédiaire Développer une démarche pédagogique pour lenseignement des savoirs fondamentaux Intermédiaire Développer un projet pédagogique Intermédiaire Enseigner transmettre des connaissances développer des compétences Intermédiaire Mesurer les progrès de lapprentissage Intermédiaire Organiser lespace pédagogique Intermédiaire Renseigner des supports dévaluation scolaire Intermédiaire,Professeur particulier Acadomia Anacours AixenProvence 4 Ans,CDD-alternance,Autre,48.0,27,145
Financier/Analyste de données,immédiate,64 - PAU,Faire preuve dautonomie Faire preuve de réactivité Sadapter aux changements Élaborer suivre et piloter un budget,Adapter les outils de traitement statistique de données Avancé Analyser exploiter structurer des données Avancé Analyser les données dune étude dun projet Avancé Développer un logiciel un système dinformations une application Intermédiaire,Doctorant LSMRC Université de Lille 5 Ans,Intérim,Autre,60.0,64,146
Ingénieur Industriel (Analyse de données & Excellence opérationnelle),immédiate,06 - NICE,ProLogiciels Excellence opérationnelle Méthode AGILE Optimisation des processus datelier Visualisation de données,Business Intelligence BI Informatique décisionnelle Intermédiaire Gestion de bases de données NoSQL Intermédiaire Langages de programmation informatique Débutant Microsoft Excel Avancé Microsoft Project Avancé Programmation en JavaScript Débutant Programmation en Python Intermédiaire,Consultant en gestion de données Capgemini Engineering Toulouse 5 Ans,CDD-alternance,Autre,60.0,06,147
BUSINESS MANAGER ( SALES ET STRATÉGIE ),immédiate,38 - GRENOBLE,Représenter sa structure lors dun événement ou auprès dinstances de décision Techniques commerciales Direction de clientèle Élaborer une stratégie commerciale Mesurer le retour sur investissement dune action marketing,Concevoir des supports de communication audiovisuels Concevoir des supports de communication visuelle Créer organiser ou coordonner un évènement Définir une stratégie de communication Mettre en oeuvre des actions de communication Organiser une conférence de presse Réaliser des actions de relation publique de diffusion et de promotion de linformation Rédiger le contenu dun support de communication Représenter sa structure lors dun événement ou auprès dinstances de décision,Directrice commerciale France Afrique SCALA STRATACACHE GROUP EUROPE et USA 2 Ans,Intérim,Autre,24.0,38,148
Ingénieur en deep learning et en traitement d'images et de données,immédiate,17 - LA ROCHELLE,Anglais Allemand B Véhicule léger,Application des méthodes de machine learning dans BI Traitement de limage et du son Avancé,Stage Superpixels GREYC Caen Caen 2 Ans,CDI,Autre,24.0,17,149
Actuaire junior,immédiate,69 - LYON,Définir la tarification des produits ou des services Finance Modélisation mathématique Réaliser des calculs de rentabilité de produits dassurance ou dépargne Réaliser ou participer à la réalisation détudes de risques identification recensement évaluation,Analyse de données expérimentales Comptabilité générale Connaissance des produits financiers Économétrie Finance Utilisation de logiciels statistiques,Analyser les données avec Microsoft Power BI 3 Ans,CDD-alternance,Autre,36.0,69,150
Chercheur en Bioinformatique,immédiate,75 - PARIS 01,,Biologie Avancé Informatique Avancé,Professeur de Sciences de la Vie et de la Terre Ecole des Pupilles de lAir et de lEspace MontbonnotSaintMartin 4 Ans,Intérim,Autre,48.0,75,151
Mathématicien en reconversion professionnelle,immédiate,03 - MOULINS,Sadapter aux changements Travailler en équipe Analyser résoudre un problème courant ou complexe Animation de groupes,Adapter un parcours ou une séquence pédagogique selon le niveau et la progression des apprenants Avancé Concevoir lingénierie de formation et les séquences pédagogiques Avancé Conseiller des apprenants dans lorganisation de leur travail personnel Avancé Définir la progression pédagogique Avancé Élaborer des plans de formation adaptés aux besoins de léquipe Avancé Enseigner transmettre des connaissances développer des compétences Avancé Évaluer le stage dun élève ou apprenti Avancé Renseigner des supports dévaluation scolaire Avancé Transmettre une technique un savoirfaire,Intervenant en Mathématiques Collège Saint Joseph La Salle Dijon 1 Ans,CDD,Autre,12.0,03,152
Ingénieur en sécurité  et administration systèmes informatiques| Data Manager,immédiate,03 - MOULINS,Administration des systèmes et réseaux Architecture et sécurité réseaux Data management Gérer les risques de cybersécurité Gouvernance systèmes dinformation,Gérer les risques de cybersécurité Avancé Sassurer du respect des règles de cybersécurité Avancé Surveiller le fonctionnement de réseaux informatiques et télécom Avancé Vérifier la conformité de fonctionnement et dutilisation des systèmes dinformation Avancé,Consultant technique SRA Afrique Casablanca Maroc 1 Ans,Intérim,Administrateur Systèmes/Réseaux,12.0,03,153
Ingénieur IT Junior – Development | Data | BI | ETL | SQL | Agile,immédiate,26 - VALENCE,Concevoir et gérer un projet Data engineer Big data Analytics Business Intelligence BI Informatique décisionnelle Python,Algorithmique Avancé Analyse statistique Avancé Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé Conception et analyse denquête Développement économique Gestion budgétaire Gestion commerciale relation clients GRH Insights marketing Intelligence économique Java Avancé Langages de programmation informatique Logiciels de gestion de base de données Avancé Modélisation et simulation Modélisation statistique Python Avancé,Data analysis ToulonFrance 1 Ans,CDI,Autre,12.0,26,154
Développeur Python spécialisé en Data Engineering,immédiate,74 - ANNECY,Anglais technique Data engineer Intelligence artificielle Python Technologies SPARK Framework,Algorithmique Anglais technique Architecture web Business Intelligence BI Informatique décisionnelle Cloud computing Domaine informatique clientserveur Génie logiciel Informatique de gestion Informatique scientifique et technique Intelligence artificielle Java Langages de programmation informatique Maîtrise d’un outil de gestion de flux Kafka Flink… Programmation logicielle Python Système dexploitation Linux Systèmes dexploitation informatique Technologies SPARK Framework,MIAGE DAta et Business Intelligence DABI Bac5 et plus ou équivalents 5 Ans,CDD-alternance,Data Engineer,60.0,74,155
Data Scientist,immédiate,76 - ROUEN,Backend Java Python C PHP SQL NoSQL Data Science pandas NumPy Matplotlib SciPy RStudio Machine Learning Scikitlearn TensorFlow Keras PyTorch Sociales Autonôme Ingénieux Autodictacte Rigoureux,Algorithmique Docker GitHub Java Javascript Kubernetes Modélisation et simulation PHP Python Reactjs SQL Système dexploitation Linux Système de Gestion de Bases de Données SGBD,Data Scientist touwi CaenCette Expérience contient une pièce jointe 4 Ans,CDI,Data Scientist,48.0,76,156
Ingénieur Data & IA | Développeur Python,immédiate,31 - TOULOUSE,Big data Analytics Concevoir et gérer un projet Intégrer des outils IAData Science Modéliser une base de données Python,Algorithmique Analyse statistique Big data Analytics Business Intelligence BI Informatique décisionnelle Intelligence artificielle Java Python Système dexploitation Linux,Ingénieur en Machine Learning stage Decathlon Lille 2 Ans,CDI,Développeur,24.0,31,157
"Ingénieur Junior en Cybersécurité, Data et Transformation Digitale",immédiate,06 - NICE,Data engineer Gérer les risques de cybersécurité Analyser exploiter structurer des données Concevoir et gérer un projet Gestion des risques Risk Management,Analyser exploiter structurer des données Avancé Analyser traiter linformation à des fins danticipation Intermédiaire Concevoir larchitecture dun système dun réseau Débutant Concevoir un logiciel un système dinformations une application Avancé Contrôler la conformité des données Intermédiaire Définir les solutions de stockage et de structuration des données Intermédiaire Déployer intégrer un logiciel un système dinformations une application Intermédiaire Développer une application en lien avec une base de données Avancé Enrichir une base de données Avancé Gérer des données massives Avancé Gérer et déployer des logiciels à distance Intermédiaire Gérer et maitriser des bases de données SQLNoSQL Intermédiaire Gérer les droits daccès des utilisateurs Débutant Gérer une architecture technique Avancé Gérer une base de données numériques Avancé Mener et exploiter une analyse stratégique Intermédiaire Mettre à jour un dossier une base de données Avancé Mettre en place une blockchain protocoles consensus etc Débutant Modéliser une base de données Avancé Participer à la mise en place dun Progiciel de Gestion Intégré PGI Intermédiaire Piloter des évolutions ou des paramétrages à apporter aux composants Intermédiaire Procéder aux phases de tests et de recettes des applications développées Intermédiaire Réaliser une analyse ou modélisation statistique de données Intermédiaire Tester un logiciel un système dinformations une application Intermédiaire,Formation d’ingénieur Sciences et Technologies de lInformation et de la Communication Bac5 et plus ou équivalents 4 Ans,Intérim,Cybersécurité,48.0,06,158
"Data Scientist en début de carrière, spécialisée en IA et Data Science, à la recherche d'opportunités.",immédiate,25 - BESANÇON,Apprentissage automatique machine learning Exploiter des solutions de Data Science ou dIntelligence Artificielle Intelligence artificielle Python SQL,Apprentissage automatique machine learning Avancé Domaine informatique clientserveur Avancé Intelligence artificielle Avancé Outils de data management Avancé Outils de traitement ou dintégration en textes Avancé Python Avancé SQL Avancé Système de Gestion de Bases de Données SGBD Avancé,Data Scientist Intern STMicroelectronics Sites de Grenoble et Crolles France 3 Ans,CDI,Data Scientist,36.0,25,159
Data Engineer,immédiate,14 - CAEN,Azure Data Factory Big data Analytics PySpark Python SQL,Algorithmique Avancé Analyse statistique Avancé Anglais technique Avancé Apache Avancé Application web Avancé Apprentissage automatique machine learning Avancé Architecture web AutoItScript Avancé Basic Avancé Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé CC Avancé C Avancé Cloud computing Avancé Cobol Cryptologie CSS Avancé Docker Avancé Domaine informatique clientserveur Avancé Économie du développement durable Avancé Génie logiciel Avancé Gestion budgétaire Gestion commerciale relation clients Gestion de version GIT Avancé HTML Avancé Informatique de gestion Avancé Informatique industrielle Avancé Informatique scientifique et technique Avancé Intelligence artificielle Avancé Intelligence économique Avancé Java Avancé Kubernetes Avancé Langages de programmation informatique Avancé Logiciel de statistiques Avancé Logiciels de gestion de base de données Avancé Maîtrise d’un outil de gestion de flux Kafka Flink… Avancé Microsoft Dynamics CRM Avancé Microsoft Exchange Server Avancé Microsoft SQL Server Avancé Modélisation et simulation Avancé Modélisation statistique Avancé MySQL Avancé Programmation logicielle Avancé Python Avancé Realflow Avancé Sciences de linformation et des bibliothèques Avancé SQL Avancé Système dexploitation Linux Avancé Système dexploitation Unix Avancé Système dexploitation Windows Avancé Système de Gestion de Bases de Données SGBD Avancé Systèmes dexploitation informatique Avancé Techniques de mémorisation Avancé Technologies de laccessibilité numérique Avancé Technologies HADOOP Avancé Technologies SPARK Framework Avancé Visual Basic Avancé XML Avancé,Data Engineer LayConsulting Paris France 3 Ans,Intérim,Data Engineer,36.0,14,160
Data Scientist - Data Analyst,immédiate,26 - VALENCE,Analyser exploiter structurer des données Big data Analytics Concevoir des modèles de détection des insights consommateurs Modélisation statistique Réaliser un modèle de prévision,Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé Conception et analyse denquête Avancé Insights marketing Avancé Intelligence économique Intermédiaire Langages de programmation informatique Avancé Modélisation et simulation Avancé Modélisation statistique Avancé,Data Scientist POLL ParisCette Expérience contient une pièce jointe 4 Ans,CDI,Data Analyst,48.0,26,161
Développeur IA/ Data Analyst (recherche alternance à partir de mars 2025),immédiate,06 - NICE,Big data Analytics Modélisation et simulation Modélisation informatique Présenter et diffuser les résultats des études réalisées Réaliser une étude,Analyse statistique Big data Analytics Économétrie Gestion budgétaire Logiciel de traitement de texte Avancé Logiciel tableur Avancé Merchandising Marchandisage Modélisation et simulation Modélisation statistique Sciences économiques et sociales Typologie du client,Développeur en intelligence artificielle 5 Ans,CDI,Data Analyst,60.0,06,162
A la recherche d'un emploi en data science/ML,immédiate,76 - ROUEN,Exploiter des solutions de Data Science ou dIntelligence Artificielle Lire et interpréter des données et documents techniques au besoin en anglais Python Réaliser une veille documentaire Système dexploitation Unix,Analyse statistique Apprentissage automatique machine learning CC Langages de programmation informatique Modélisation statistique Python Système dexploitation Unix Système de Gestion de Bases de Données SGBD,UPMC Licence Mathématiques Bac3 Bac4 ou équivalentsCette Formation contient une pièce jointe 2 Ans,CDD-alternance,Autre,24.0,76,163
Ingénieur statisticien/Data scientist,immédiate,02 - LAON,Organiser son travail selon les priorités et les objectifs Sadapter aux changements Travailler en équipe Big data Analytics Python,Analyse statistique Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Intermédiaire Gestion de version GIT Avancé GitLab Avancé HTML Débutant Python Avancé,Formation MaiMoSiNe Université de GrenobleCNRS France Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Data Scientist,12.0,02,164
DATA ANALYST / DATA SCIENTIST,immédiate,02 - LAON,Organiser son travail selon les priorités et les objectifs Travailler en équipe Business Intelligence BI Informatique décisionnelle Analyse statistique Big data Analytics,Algorithmique Intermédiaire Analyse statistique Intermédiaire Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Débutant Conception et analyse denquête Intermédiaire Développement économique Intermédiaire Économie du développement durable Intermédiaire Gestion budgétaire Intermédiaire Gestion commerciale relation clients Avancé Insights marketing Intermédiaire Intelligence économique Intermédiaire Langages de programmation informatique Intermédiaire Logiciel de statistiques Intermédiaire Logiciels de gestion de base de données Intermédiaire Modélisation et simulation Intermédiaire Modélisation statistique Intermédiaire Sciences économiques et sociales Intermédiaire,Assistante Master Data Carrefour Siège Social Pôle Textile Paris 4 Ans,CDD,Data Analyst,48.0,02,165
Data analyst / analyste des risques,immédiate,22 - SAINT-BRIEUC,Exploiter des solutions de Data Science ou dIntelligence Artificielle Anglais Français,Exploiter des solutions de Data Science ou dIntelligence Artificielle,Stratégie et Ingénierie Financière Bac5 et plus ou équivalents 5 Ans,CDD-alternance,Data Analyst,60.0,22,166
Data Scientist,immédiate,17 - LA ROCHELLE,Data engineer Apprentissage automatique machine learning Exploiter des solutions de Data Science ou dIntelligence Artificielle Python,Apprentissage automatique machine learning Avancé Big data Analytics CSS Gestion de version GIT GitHub HTML J2EE Java Avancé MySQL Oracle Python Avancé Realflow SQL,Vision par Ordinateur Stage de Fin dÉtudes NextRoad La Verrière 3 Ans,CDD,Data Scientist,36.0,17,167
Linguiste informaticien / Linguistic Data Scientist,immédiate,68 - MULHOUSE,Créer et tester des algorithmes d’apprentissage automatique machine learning deep learning… Exploration de données data mining Modélisation et simulation Python Anglais,Analyse statistique Intermédiaire Apprentissage automatique machine learning Intermédiaire Exploration de données data mining Intermédiaire Histoire Débutant Langages de programmation informatique Avancé Linguistique Avancé Littérature Débutant Modélisation et simulation Intermédiaire Modélisation statistique Intermédiaire Python Avancé Sciences humaines et sociales Intermédiaire Statistiques Intermédiaire Système dexploitation Unix Intermédiaire Système de Gestion de Bases de Données SGBD Intermédiaire,Évaluation de la qualité linguistique de textes générés par de grands modèles de langue LLMs Ministère des Armées Paris 5 Ans,CDD-alternance,Data Scientist,60.0,68,168
Data Engineer,immédiate,59 - LILLE,Cloud computing Data engineer Déployer intégrer un logiciel un système dinformations une application Gérer et maitriser des bases de données SQLNoSQL Informatique scientifique et technique,Algorithmique Business Intelligence BI Informatique décisionnelle Cloud computing Informatique scientifique et technique Intelligence artificielle Langages de programmation informatique Python,Master M2 en Intelligence Artificielle et Big data Bac5 et plus ou équivalents 5 Ans,CDD-alternance,Data Engineer,60.0,59,169
Data Engineer / Big Data Analyst,immédiate,18 - BOURGES,Apache Spark Big data Analytics Python SQL,Apache Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle HTML Avancé Informatique de gestion Avancé Intelligence artificielle Intermédiaire Java Intermédiaire Langages de programmation informatique Logiciels de gestion de base de données Avancé Python Avancé Script Shell Intermédiaire SQL Avancé Technologie de linternet Intermédiaire,Data Engineer Sopra Steria 5 Ans,CDD,Data Analyst,60.0,18,170
Ingénieur optique - data scientist,immédiate,74 - ANNECY,Faire preuve de rigueur et de précision Data Science Intelligence artificielle Python Anglais,Intelligence artificielle Avancé Langages de programmation informatique Intermédiaire Modélisation et simulation Intermédiaire Python Avancé,Data scientist Bac5 et plus ou équivalents 4 Ans,CDI,Data Scientist,48.0,74,171
"Data Scientist Professionnel certifié Datacamp et Master spécialisé Économétrie, Big Data et Statistique, je suis à la recherche de mon premier CDI/CDD en tant que Data Scientist à partir de  11/2024.",immédiate,31 - TOULOUSE,Créer et tester des algorithmes d’apprentissage automatique machine learning deep learning… Data visualisation Développement et Déploiement de modèles IA générative NLP LLMs Traitements de textes Traitements dimages,Adapter les outils de traitement statistique de données Avancé Définir et faire évoluer des procédés de traitement de linformation Avancé,Double Cursus de Master 12 et Magistère Ingénieur 23 en Économétrie Big Data et Statistique Bac5 et plus ou équivalentsCette Formation contient une pièce jointe 1 Ans,Intérim,Data Scientist,12.0,31,172
